EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ACTOR2,CIVILIAN_TARGETING,COUNTRY,ADMIN1,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,FATALITIES,TAGS,TIMESTAMP
UKR118229,24-Aug-23,2023,1,Battles,Armed clash,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-),nan,Ukraine,Donetsk,Staromykhaylivka,47.991,37.586,2,3,nan,1693927407
RUS11274,25-Aug-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Belgorod,Nekhoteevka,50.342,36.299,1,0,nan,1693927398
UKR115503,26-Aug-23,2023,1,Battles,Armed clash,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-),nan,Ukraine,Donetsk,Kurdiumivka,48.468,37.957,2,0,nan,1693927402
UKR114855,26-Aug-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kherson,Yantarne,46.576,32.442,1,0,nan,1693927401
UKR115565,27-Aug-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-) Air Force,Military Forces of Ukraine (2019-) Air Force,nan,Ukraine,Zaporizhia,Novodanylivka,47.524,35.824,2,0,nan,1693927402
UKR114989,28-Aug-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Preobrazhenka,47.576,35.802,1,0,nan,1693927401
UKR115010,28-Aug-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Zolota Nyva,47.794,36.99,2,0,nan,1693927401
UKR115067,29-Aug-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Riasne,50.69,35.394,2,0,nan,1693927401
UKR115172,30-Aug-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Poltavka,47.717,36.489,1,0,nan,1693927401
RUS11395,2-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),Civilians (Russia),Civilian targeting,Russia,Belgorod,Urazovo,50.083,38.032,1,1,nan,1694528987
UKR126497,3-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Kharkiv,Strilecha,50.301,36.399,2,0,nan,1694528987
RUS11345,3-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,nan,nan,Russia,Kursk,Kurchatov,51.656,35.677,1,0,nan,1694528987
UKR131301,4-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Russia (2000-),nan,Ukraine,Luhansk,Nyrkove,48.738,38.312,2,0,nan,1697557202
RUS11548,5-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Belgorod,Kolotilovka,50.813,35.434,1,0,nan,1695129377
